marine_qualification_id,subject_type,subject_id,marine_waterbody_id,governed_feature_type_code,marine_route_type_code,source_geometry_status,coordinate_qualification_status,containment_context,land_overlap_status,source_fidelity_status,derivation_lineage_status,naming_status,sovereignty_assertion_status,publication_status,qualification_status,findings,runtime_effect_scope
NG-MAR-QUAL-000021,COASTAL_INTERFACE,NG-MAR-IF-000020,NG-MAR-WAT-000001,ISLAND,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,OFFSHORE_ISLAND_COASTLINE:NG-SOV-PART-000003,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000022,COASTAL_INTERFACE,NG-MAR-IF-000021,NG-MAR-WAT-000001,ISLAND,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,OFFSHORE_ISLAND_COASTLINE:NG-SOV-PART-000004,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000023,COASTAL_INTERFACE,NG-MAR-IF-000022,NG-MAR-WAT-000001,ISLAND,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,OFFSHORE_ISLAND_COASTLINE:NG-SOV-PART-000005,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000024,COASTAL_INTERFACE,NG-MAR-IF-000023,NG-MAR-WAT-000001,ISLAND,,GOVERNED_COASTAL_INTERFACE_SEGMENT,PASS,OFFSHORE_ISLAND_COASTLINE:NG-SOV-PART-000006,EXPECTED_LAND_MARINE_BOUNDARY_INTERFACE,PASS,SOURCE_BOUNDARY_SEGMENT_LEDGER_LINKED,NOT_ASSIGNED_BY_INTERFACE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000025,MARINE_ANCHOR,NG-MAR-ANCH-000001,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000001:MAINLAND_DEPARTURE,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000026,MARINE_ANCHOR,NG-MAR-ANCH-000002,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000002:ISLAND_ARRIVAL,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000027,MARINE_ANCHOR,NG-MAR-ANCH-000003,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000001:MAINLAND_DEPARTURE,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000028,MARINE_ANCHOR,NG-MAR-ANCH-000004,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000003:ISLAND_ARRIVAL,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000029,MARINE_ANCHOR,NG-MAR-ANCH-000005,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000001:MAINLAND_DEPARTURE,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000030,MARINE_ANCHOR,NG-MAR-ANCH-000006,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000004:ISLAND_ARRIVAL,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000031,MARINE_ANCHOR,NG-MAR-ANCH-000007,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000001:MAINLAND_DEPARTURE,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000032,MARINE_ANCHOR,NG-MAR-ANCH-000008,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000005:ISLAND_ARRIVAL,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000033,MARINE_ANCHOR,NG-MAR-ANCH-000009,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000001:MAINLAND_DEPARTURE,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000034,MARINE_ANCHOR,NG-MAR-ANCH-000010,NG-MAR-WAT-000001,COASTLINE,MAINLAND_TO_OFFSHORE_ISLAND,SOURCE_DERIVATIVE_BOUNDARY_VERTEX,PASS,ON_SOVEREIGN_BOUNDARY:NG-SOV-PART-000006:ISLAND_ARRIVAL,BOUNDARY_ENDPOINT_EXPECTED,PASS,SOURCE_DERIVATIVE_VERTEX_LINKED,NOT_APPLICABLE,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000035,SEA_ROUTE,NG-SEA-RT-CAND-000001,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,LINESTRING:5_VERTICES,PASS,BOUNDARY_TO_MARINE_INTERIOR_TO_BOUNDARY,ZERO_LAND_OVERLAP,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,NOT_PUBLISHED,PASS,PHYSICAL_ROUTE_QUALIFIED_NAME_INDEPENDENT,SHARED_REFERENCE
NG-MAR-QUAL-000036,SEA_ROUTE,NG-SEA-RT-CAND-000002,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,LINESTRING:5_VERTICES,PASS,BOUNDARY_TO_MARINE_INTERIOR_TO_BOUNDARY,ZERO_LAND_OVERLAP,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,NOT_PUBLISHED,PASS,PHYSICAL_ROUTE_QUALIFIED_NAME_INDEPENDENT,SHARED_REFERENCE
NG-MAR-QUAL-000037,SEA_ROUTE,NG-SEA-RT-CAND-000003,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,LINESTRING:5_VERTICES,PASS,BOUNDARY_TO_MARINE_INTERIOR_TO_BOUNDARY,ZERO_LAND_OVERLAP,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,NOT_PUBLISHED,PASS,PHYSICAL_ROUTE_QUALIFIED_NAME_INDEPENDENT,SHARED_REFERENCE
NG-MAR-QUAL-000038,SEA_ROUTE,NG-SEA-RT-CAND-000004,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,LINESTRING:5_VERTICES,PASS,BOUNDARY_TO_MARINE_INTERIOR_TO_BOUNDARY,ZERO_LAND_OVERLAP,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,NOT_PUBLISHED,PASS,PHYSICAL_ROUTE_QUALIFIED_NAME_INDEPENDENT,SHARED_REFERENCE
NG-MAR-QUAL-000039,SEA_ROUTE,NG-SEA-RT-CAND-000005,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,LINESTRING:5_VERTICES,PASS,BOUNDARY_TO_MARINE_INTERIOR_TO_BOUNDARY,ZERO_LAND_OVERLAP,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,NOT_PUBLISHED,PASS,PHYSICAL_ROUTE_QUALIFIED_NAME_INDEPENDENT,SHARED_REFERENCE
NG-MAR-QUAL-000040,MARINE_CONNECTION,NG-MAR-CONN-000001,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,ROUTE_REFERENCE,INHERITS_QUALIFIED_ROUTE,NG-SOV-PART-000001->NG-SOV-PART-000002,INHERITS_ZERO_LAND_OVERLAP_ROUTE,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000041,MARINE_CONNECTION,NG-MAR-CONN-000002,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,ROUTE_REFERENCE,INHERITS_QUALIFIED_ROUTE,NG-SOV-PART-000001->NG-SOV-PART-000003,INHERITS_ZERO_LAND_OVERLAP_ROUTE,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000042,MARINE_CONNECTION,NG-MAR-CONN-000003,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,ROUTE_REFERENCE,INHERITS_QUALIFIED_ROUTE,NG-SOV-PART-000001->NG-SOV-PART-000004,INHERITS_ZERO_LAND_OVERLAP_ROUTE,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000043,MARINE_CONNECTION,NG-MAR-CONN-000004,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,ROUTE_REFERENCE,INHERITS_QUALIFIED_ROUTE,NG-SOV-PART-000001->NG-SOV-PART-000005,INHERITS_ZERO_LAND_OVERLAP_ROUTE,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000044,MARINE_CONNECTION,NG-MAR-CONN-000005,NG-MAR-WAT-000001,,MAINLAND_TO_OFFSHORE_ISLAND,ROUTE_REFERENCE,INHERITS_QUALIFIED_ROUTE,NG-SOV-PART-000001->NG-SOV-PART-000006,INHERITS_ZERO_LAND_OVERLAP_ROUTE,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000045,ISLAND_PHYSICAL_STATE,NG-ISL-STATE-000001,NG-MAR-WAT-000001,ISLAND,MAINLAND_TO_OFFSHORE_ISLAND,QUALIFIED_OFFSHORE_ISLAND_POLYGON_PRESENT_IN_BOUNDARY_V002,BOUNDARY_POLYGON_STATE_REFERENCE,OFFSHORE_ISLAND:NG-SOV-PART-000002,ISLAND_LAND_EXPECTED,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000046,ISLAND_PHYSICAL_STATE,NG-ISL-STATE-000002,NG-MAR-WAT-000001,ISLAND,MAINLAND_TO_OFFSHORE_ISLAND,QUALIFIED_OFFSHORE_ISLAND_POLYGON_PRESENT_IN_BOUNDARY_V002,BOUNDARY_POLYGON_STATE_REFERENCE,OFFSHORE_ISLAND:NG-SOV-PART-000003,ISLAND_LAND_EXPECTED,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
NG-MAR-QUAL-000047,ISLAND_PHYSICAL_STATE,NG-ISL-STATE-000003,NG-MAR-WAT-000001,ISLAND,MAINLAND_TO_OFFSHORE_ISLAND,QUALIFIED_OFFSHORE_ISLAND_POLYGON_PRESENT_IN_BOUNDARY_V002,BOUNDARY_POLYGON_STATE_REFERENCE,OFFSHORE_ISLAND:NG-SOV-PART-000004,ISLAND_LAND_EXPECTED,PASS,PASS,UNNAMED,NOT_ASSERTED_BY_THIS_RECORD,FOUNDATION_REFERENCE_NOT_CANONICAL_PERSISTENCE,PASS,,SHARED_REFERENCE
