alignment_request_id,road_candidate_id,road_name_id,canonical_name,road_class_code,region_code,planning_status,current_geometry_status,current_geometry_reference,candidate_geometry_reference,record_role,candidate_status,source_basis,source_path_reference,source_sha256,runtime_effect_scope
NG-RDALIGN-REQ-000015,NG-RD-CAND-000015,NG-NAM-ROA-000015,Varenza Drive,LOCAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000016,NG-RD-CAND-000016,NG-NAM-ROA-000016,Tekhara Gardens Way,MUNICIPAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000017,NG-RD-CAND-000017,NG-NAM-ROA-000017,Elvarin Boulevard,DISTRICT,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000018,NG-RD-CAND-000018,NG-NAM-ROA-000018,Nyavelle Highway,REGIONAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000019,NG-RD-CAND-000019,NG-NAM-ROA-000019,Moraen Park Junction,RURAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000020,NG-RD-CAND-000020,NG-NAM-ROA-000020,Tekkai Crossing,ACCESS,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000021,NG-RD-CAND-000021,NG-NAM-ROA-000021,Vondel Ridge Road,SERVICE,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000022,NG-RD-CAND-000022,NG-NAM-ROA-000022,Aelmar Street,LOCAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000023,NG-RD-CAND-000023,NG-NAM-ROA-000023,Sabaro Avenue,MUNICIPAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000024,NG-RD-CAND-000024,NG-NAM-ROA-000024,Trossgate Lane,DISTRICT,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000025,NG-RD-CAND-000025,NG-NAM-ROA-000025,Ashbourne Drive,REGIONAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000026,NG-RD-CAND-000026,NG-NAM-ROA-000026,Crescenton Way,RURAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000027,NG-RD-CAND-000027,NG-NAM-ROA-000027,Elmtree Boulevard,ACCESS,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000028,NG-RD-CAND-000028,NG-NAM-ROA-000028,Faircross Highway,SERVICE,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000029,NG-RD-CAND-000029,NG-NAM-ROA-000029,Kingswell Junction,LOCAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000030,NG-RD-CAND-000030,NG-NAM-ROA-000030,Brackenford Crossing,MUNICIPAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000031,NG-RD-CAND-000031,NG-NAM-ROA-000031,Rosehaven Road,DISTRICT,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000032,NG-RD-CAND-000032,NG-NAM-ROA-000032,Claybourne Street,REGIONAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000033,NG-RD-CAND-000033,NG-NAM-ROA-000033,Newstead Avenue,RURAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000034,NG-RD-CAND-000034,NG-NAM-ROA-000034,Larkspur Lane,ACCESS,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000035,NG-RD-CAND-000035,NG-NAM-ROA-000035,Eastbridge Drive,SERVICE,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000036,NG-RD-CAND-000036,NG-NAM-ROA-000036,Hillmark Way,LOCAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000037,NG-RD-CAND-000037,NG-NAM-ROA-000037,Greyhaven Boulevard,MUNICIPAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000038,NG-RD-CAND-000038,NG-NAM-ROA-000038,Willowgate Highway,DISTRICT,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000039,NG-RD-CAND-000039,NG-NAM-ROA-000039,Stoneleigh Junction,REGIONAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000040,NG-RD-CAND-000040,NG-NAM-ROA-000040,Maple Junction Crossing,RURAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000041,NG-RD-CAND-000041,NG-NAM-ROA-000041,South Bell Road,ACCESS,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000042,NG-RD-CAND-000042,NG-NAM-ROA-000042,Orchard End Street,SERVICE,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000043,NG-RD-CAND-000043,NG-NAM-ROA-000043,Carrowfield Avenue,LOCAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000044,NG-RD-CAND-000044,NG-NAM-ROA-000044,West Carrow Lane,MUNICIPAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000045,NG-RD-CAND-000045,NG-NAM-ROA-000045,Low Crescent Drive,DISTRICT,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000046,NG-RD-CAND-000046,NG-NAM-ROA-000046,Meridian Gate Way,REGIONAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000047,NG-RD-CAND-000047,NG-NAM-ROA-000047,Railview Boulevard,RURAL,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000048,NG-RD-CAND-000048,NG-NAM-ROA-000048,Eastbank Highway,ACCESS,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
NG-RDALIGN-REQ-000049,NG-RD-CAND-000049,NG-NAM-ROA-000049,Lower Ashbourne Junction,SERVICE,NGR-01,RESERVED_REFERENCE,UNMAPPED_PENDING_CONSTRUCTION_OR_SURVEY,,,ROAD_ALIGNMENT_REQUIREMENT,PENDING_PHYSICAL_ALIGNMENT_ANALYSIS,Derived governed road name catalogue,data/novegeo/nngla/geometry-roads-addresses/source/06_roads_addresses/road_reference_candidates.csv,ae4e334fad728bb676f38d1bda2f3504cdc7ee86db9d8c66ec7455949bf55339,SHARED_REFERENCE
