citizen_house_design_id,citizen_house_design_code,primary_compatible_terrain_zone,compatible_terrain_zones,minimum_plot_area_sqm,suitable_ground_conditions,unsuitable_ground_conditions,maximum_site_slope_percent,minimum_floor_clearance_mm,flood_resilience_level,wind_resistance_level,drainage_requirement,site_inspection_requirement,physical_property_id_issue_stage,source_catalogue_sha256
019ff0b1-9e1a-7277-990f-36f4bb66afe2,NCH-000014-1,central_plateau,central_plateau|agricultural_plateau,700,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,8,250,low,moderate,perimeter_surface_drain_and_roof_runoff_route,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e1c-7936-ac61-1a379e652b4b,NCH-000015-8,central_plateau,central_plateau|agricultural_plateau,560,firm_lateritic_soil|compacted_gravel|stable_clay_above_flood_level,deep_soft_mud|active_floodway|unassessed_expansive_clay,8,250,low,moderate,perimeter_surface_drain_and_roof_runoff_route,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e1e-786c-b4ca-34556593d17f,NCH-000016-6,mountain_highlands,mountain_highlands|central_plateau,80,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,250,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e20-7cf1-8d0a-a9363f0b6a12,NCH-000017-4,mountain_highlands,mountain_highlands|central_plateau,110,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,250,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e22-7188-80d4-fa6930335487,NCH-000018-2,mountain_highlands,mountain_highlands|central_plateau,140,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,275,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e24-7b56-8c39-2ba04680c150,NCH-000019-0,mountain_highlands,mountain_highlands|central_plateau,190,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,275,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e26-71fb-9aff-9e22ae4314c9,NCH-000020-8,mountain_highlands,mountain_highlands|central_plateau,230,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,275,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e28-735f-8c36-c4cdf744cc68,NCH-000021-6,mountain_highlands,mountain_highlands|central_plateau,285,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,300,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e2a-7d06-8bec-11bb8bd3bdff,NCH-000022-4,mountain_highlands,mountain_highlands|central_plateau,315,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,300,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e2c-7344-9299-26c6b48d5077,NCH-000023-2,mountain_highlands,mountain_highlands|central_plateau,350,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,300,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e2e-7691-b070-c858b1c22e55,NCH-000024-0,mountain_highlands,mountain_highlands|central_plateau,420,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,22,300,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e30-71d6-a586-4e270e95d034,NCH-000025-7,mountain_highlands,mountain_highlands|central_plateau,470,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,20,325,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,mandatory_geotechnical_slope_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e32-79f2-a5db-213bd8842dc6,NCH-000026-5,mountain_highlands,mountain_highlands|central_plateau,450,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,20,325,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,mandatory_geotechnical_slope_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e34-7c03-b060-edd923e1ace4,NCH-000027-3,mountain_highlands,mountain_highlands|central_plateau,540,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,20,325,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,mandatory_geotechnical_slope_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e36-7fb2-bad1-079a907bffc1,NCH-000028-1,mountain_highlands,mountain_highlands|central_plateau,350,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,20,325,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,mandatory_geotechnical_slope_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e38-7bb9-82c7-0ee3f0c98efc,NCH-000029-9,mountain_highlands,mountain_highlands|central_plateau,700,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,20,350,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,mandatory_geotechnical_slope_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e3a-7831-933c-00bf363d227f,NCH-000030-7,mountain_highlands,mountain_highlands|central_plateau,560,stable_shallow_rock|well_drained_mountain_soil|engineered_slope_bench,active_landslip|unretained_cut_slope|deep_uncompacted_fill,20,350,low,high,upslope_interceptor_drain_and_controlled_downslope_outlet,mandatory_geotechnical_slope_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e3c-78fb-b82d-c28827399280,NCH-000031-5,agricultural_plateau,agricultural_plateau|central_plateau,80,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,200,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e3e-798c-a2a8-d442b6959a5b,NCH-000032-3,agricultural_plateau,agricultural_plateau|central_plateau,110,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,200,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e40-7504-9c36-a443331db796,NCH-000033-1,agricultural_plateau,agricultural_plateau|central_plateau,140,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,225,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e42-7e3f-a5ce-50eb5573d814,NCH-000034-9,agricultural_plateau,agricultural_plateau|central_plateau,190,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,225,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e44-7037-83cc-3cfb3d0c5bf2,NCH-000035-6,agricultural_plateau,agricultural_plateau|central_plateau,230,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,225,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,community_site_check_and_basic_safety_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e46-7ded-9353-a92f246ce249,NCH-000036-4,agricultural_plateau,agricultural_plateau|central_plateau,285,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,250,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e48-7bf4-a212-321642035294,NCH-000037-2,agricultural_plateau,agricultural_plateau|central_plateau,315,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,250,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e4a-7d33-82ab-efcd6883a38d,NCH-000038-0,agricultural_plateau,agricultural_plateau|central_plateau,350,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,250,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e4c-7114-9fa8-d40741a06d6f,NCH-000039-8,agricultural_plateau,agricultural_plateau|central_plateau,420,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,9,250,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,trained_site_assessor_and_foundation_check_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e4e-71b1-888a-55a7773f5d73,NCH-000040-6,agricultural_plateau,agricultural_plateau|central_plateau,470,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,7,275,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e50-77e9-bed7-a3118238e874,NCH-000041-4,agricultural_plateau,agricultural_plateau|central_plateau,450,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,7,275,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e52-7b4a-b013-494c8b265885,NCH-000042-2,agricultural_plateau,agricultural_plateau|central_plateau,540,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,7,275,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e54-7092-a4c5-964c57d7231e,NCH-000043-0,agricultural_plateau,agricultural_plateau|central_plateau,350,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,7,275,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e56-7d80-96ff-95280be1d6da,NCH-000044-8,agricultural_plateau,agricultural_plateau|central_plateau,700,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,7,300,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e58-7a32-b2aa-89a514a855ac,NCH-000045-5,agricultural_plateau,agricultural_plateau|central_plateau,560,firm_clay_loam|well_drained_field_edge|compacted_gravelly_soil,seasonally_waterlogged_depression|active_stream_channel|uncompacted_organic_soil,7,300,low,moderate,shallow_perimeter_drain_and_gutter_discharge_to_safe_field_edge,geotechnical_and_structural_review_required,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e5a-798c-8f07-24c2cb10652a,NCH-000046-3,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,80,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,900,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e5c-7f42-aee4-ccb783e3ea3a,NCH-000047-1,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,110,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,900,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e5e-78f8-b9b8-81375aa0237e,NCH-000048-9,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,140,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1100,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e60-7e7c-a285-ee24ecf4b63a,NCH-000049-7,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,190,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1100,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e62-7da5-afe9-436a53424926,NCH-000050-5,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,230,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1100,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e64-79d6-b815-754a2375d1e2,NCH-000051-3,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,285,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1300,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e66-75fc-974b-2ad7da6a662b,NCH-000052-1,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,315,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1300,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e68-7ba5-9d94-4aeaf2d5068f,NCH-000053-9,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,350,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1300,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e6a-7988-b9d5-ab0460d01d1d,NCH-000054-7,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,420,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,4,1300,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e6c-7242-99f9-d28452822233,NCH-000055-4,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,470,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,3,1500,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e6e-7455-a818-9e6ee0442178,NCH-000056-2,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,450,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,3,1500,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
019ff0b1-9e70-7b4f-9823-51857772b9fc,NCH-000057-0,lake_and_wetland_basin,lake_and_wetland_basin|gulf_estuary_and_industrial_coast,540,seasonally_saturated_soil|shallow_soft_mud|assessed_floodplain_above_active_channel,unassessed_deep_peat|active_scour_channel|unstable_eroding_bank,3,1500,high,moderate,raised_floor_with_open_flow_path_and_directed_roof_runoff,mandatory_geotechnical_hydrology_and_structural_review,validated_construction_commencement,0cf6c97286f62dc86414ae7aedb026a69faec4fb92a1b5dd85fd4fbb42273078
